ts,elapsed_s,target_c,phase,temp_c,temp_avg_3s,power_w,power_limit_w,gpu_util_percent,mem_util_percent,fan_percent,graphics_clock_mhz,mem_clock_mhz,controller_pl_w,controller_mode,decision_action,in_band_consecutive_s
1775286871.8868792,0.0,60,warmup,39,39.0,11.879,150.0,3,2,0,139,405,150,mid,INIT,0
1775286872.8952549,1.003,60,warmup,39,39.0,16.64,150.0,3,2,0,139,405,150,mid,INIT,0
1775286873.9239714,2.037,60,warmup,45,41.0,152.157,150.0,100,29,0,1126,5005,160,mid,PL+10,0
1775286875.0601096,3.167,60,warmup,46,43.333,114.34,160.0,100,37,0,1556,5005,170,mid,PL+10,0
1775286876.1119473,4.225,60,warmup,48,46.333,98.653,170.0,100,32,0,1392,5005,180,mid,PL+10,0
1775286877.1699893,5.283,60,warmup,49,47.667,175.858,180.0,100,32,0,1417,5005,190,mid,PL+10,0
1775286878.252915,6.366,60,warmup,50,49.0,189.121,190.0,100,41,0,1531,5005,200,mid,PL+10,0
1775286879.3089387,7.422,60,warmup,51,50.0,207.071,200.0,100,40,0,1582,5005,210,mid,PL+10,0
1775286880.3719308,8.485,60,warmup,52,51.0,210.258,210.0,100,43,0,1620,5005,220,mid,PL+10,0
1775286881.42558,9.538,60,warmup,53,52.0,232.104,220.0,100,44,0,1657,5005,230,mid,PL+10,0
1775286882.4819553,10.595,60,warmup,54,53.0,235.906,230.0,100,43,0,1683,5005,240,mid,PL+10,0
1775286883.5199552,11.633,60,hold,55,54.0,248.146,240.0,100,41,0,1708,5005,250,mid,PL+10,1
1775286884.5969496,12.71,60,hold,56,55.0,246.513,250.0,100,45,0,1721,5005,255,mid,PL+5,2
1775286885.6429248,13.756,60,hold,56,55.667,259.124,255.0,100,42,0,1759,5005,260,mid,PL+5,3
1775286886.6909134,14.804,60,hold,57,56.333,255.086,260.0,100,44,0,1746,5005,265,mid,PL+5,4
1775286887.7528791,15.866,60,hold,58,57.0,273.074,265.0,100,46,0,1771,5005,270,mid,PL+5,5
1775286888.8149042,16.928,60,hold,59,58.0,262.518,270.0,100,44,0,1759,5005,270,mid,HOLD_STABLE,6
1775286889.8179045,17.931,60,hold,59,58.667,269.412,270.0,100,44,25,1771,5005,270,mid,HOLD_STABLE,7
1775286890.8209457,18.934,60,hold,60,59.333,272.161,270.0,100,47,27,1771,5005,270,mid,HOLD_STABLE,8
1775286891.8409743,19.954,60,hold,60,59.667,278.454,270.0,100,44,24,1784,5005,270,mid,HOLD_STABLE,9
1775286892.851161,20.964,60,hold,61,60.333,266.522,270.0,100,47,22,1759,5005,270,mid,HOLD_STABLE,10
1775286893.8689666,21.982,60,hold,61,60.667,274.065,270.0,100,46,21,1771,5005,270,mid,HOLD_STABLE,11
1775286894.8809385,22.994,60,hold,61,61.0,265.41,270.0,100,45,21,1759,5005,270,mid,HOLD_STABLE,12
1775286895.894242,24.007,60,hold,61,61.0,263.964,270.0,100,43,21,1759,5005,270,mid,HOLD_STABLE,13
1775286896.9039843,25.017,60,hold,62,61.333,267.7,270.0,100,44,22,1759,5005,270,mid,HOLD_STABLE,14
1775286897.9099789,26.023,60,hold,62,61.667,270.064,270.0,100,43,23,1771,5005,270,mid,HOLD_STABLE,15
1775286898.9219167,27.035,60,hold,63,62.333,267.026,270.0,100,47,23,1759,5005,265,mid,PL-5,16
1775286899.9679303,28.081,60,hold,63,62.667,171.884,265.0,100,44,24,1759,5005,260,mid,PL-5,17
1775286901.01595,29.129,60,hold,63,63.0,266.863,260.0,100,46,25,1733,5005,255,mid,PL-5,18
1775286902.0869167,30.2,60,hold,63,63.0,243.487,255.0,100,42,26,1708,5005,250,mid,PL-5,19
1775286903.1339781,31.247,60,hold,63,63.0,252.911,250.0,100,42,27,1721,5005,245,mid,PL-5,20
1775286904.207966,32.321,60,hold,63,63.0,239.668,245.0,100,44,27,1683,5005,240,mid,PL-5,21
1775286905.264397,33.377,60,hold,63,63.0,244.777,240.0,100,42,27,1670,5005,235,mid,PL-5,22
1775286906.325009,34.437,60,hold,63,63.0,235.462,235.0,100,43,28,1670,5005,230,mid,PL-5,23
1775286907.3819249,35.495,60,hold,63,63.0,228.166,230.0,100,46,28,1657,5005,225,mid,PL-5,24
1775286908.436915,36.55,60,hold,63,63.0,223.783,225.0,100,41,28,1645,5005,220,mid,PL-5,25
