ts,elapsed_s,target_c,phase,temp_c,temp_avg_3s,power_w,power_limit_w,gpu_util_percent,mem_util_percent,fan_percent,graphics_clock_mhz,mem_clock_mhz,controller_pl_w,controller_mode,decision_action,in_band_consecutive_s
1775290956.7262654,0.0,80,warmup,44,44.0,11.976,300.0,7,3,0,139,405,300,mid,INIT,0
1775290957.7299004,1.004,80,warmup,44,44.0,11.296,300.0,7,3,0,139,405,300,mid,INIT,0
1775290958.741947,2.016,80,warmup,56,48.0,210.996,300.0,100,44,0,1822,5005,300,mid,LOW_WAIT,0
1775290959.7952425,3.046,80,warmup,57,52.333,203.141,300.0,100,47,0,1835,5005,300,high,MODE_HIGH,0
1775290961.075562,4.338,80,warmup,49,54.0,78.408,300.0,1,0,0,1936,5508,300,high,LOW_WAIT,0
1775290962.0959363,5.37,80,warmup,58,54.667,293.448,300.0,100,56,0,1835,5005,300,high,LOW_WAIT,0
1775290963.1079316,6.382,80,warmup,59,55.333,296.071,300.0,100,56,0,1822,5005,300,high,LOW_WAIT,0
1775290964.1459048,7.42,80,warmup,59,58.667,287.625,300.0,100,54,12,1822,5005,300,high,LOW_WAIT,0
1775290965.1643186,8.438,80,warmup,60,59.333,285.315,300.0,100,51,16,1822,5005,300,high,LOW_WAIT,0
1775290966.1789112,9.453,80,warmup,60,59.667,287.529,300.0,100,52,17,1822,5005,300,high,LOW_WAIT,0
1775290967.1819289,10.456,80,warmup,61,60.333,294.869,300.0,100,55,18,1822,5005,300,high,LOW_WAIT,0
1775290968.184956,11.459,80,warmup,61,60.667,291.765,300.0,100,52,19,1835,5005,300,high,LOW_WAIT,0
1775290969.19797,12.472,80,warmup,62,61.333,256.179,300.0,100,52,20,1822,5005,300,high,LOW_WAIT,0
1775290970.2079544,13.482,80,warmup,62,61.667,227.898,300.0,100,54,22,1822,5005,300,high,LOW_WAIT,0
1775290971.216107,14.49,80,warmup,63,62.333,275.561,300.0,100,55,22,1809,5005,300,high,LOW_WAIT,0
1775290972.2218804,15.496,80,warmup,63,62.667,287.721,300.0,100,54,23,1809,5005,300,high,LOW_WAIT,0
1775290973.2489302,16.523,80,warmup,63,63.0,301.264,300.0,100,55,24,1835,5005,300,high,LOW_WAIT,0
1775290974.2549453,17.529,80,warmup,64,63.333,294.289,300.0,100,57,26,1822,5005,300,high,LOW_WAIT,0
1775290975.2749875,18.549,80,warmup,64,63.667,285.482,300.0,100,56,26,1822,5005,300,high,LOW_WAIT,0
1775290976.2889771,19.563,80,warmup,64,64.0,286.759,300.0,100,51,28,1822,5005,300,high,LOW_WAIT,0
1775290977.3089483,20.583,80,warmup,65,64.333,288.997,300.0,100,53,29,1809,5005,300,high,LOW_WAIT,0
1775290978.3189263,21.593,80,warmup,65,64.667,291.331,300.0,100,54,30,1809,5005,300,high,LOW_WAIT,0
1775290979.3304946,22.604,80,warmup,65,65.0,291.643,300.0,100,53,31,1809,5005,300,high,LOW_WAIT,0
1775290980.3459208,23.62,80,warmup,66,65.333,294.818,300.0,100,56,31,1809,5005,300,high,LOW_WAIT,0
1775290981.3641837,24.636,80,warmup,66,65.667,291.74,300.0,100,47,32,1809,5005,300,high,LOW_WAIT,0
1775290982.3669462,25.641,80,warmup,66,66.0,172.575,300.0,100,56,33,1809,5005,300,high,LOW_WAIT,0
1775290983.3860202,26.66,80,warmup,67,66.333,267.678,300.0,100,58,34,1784,5005,300,high,LOW_WAIT,0
1775290984.3971298,27.671,80,warmup,67,66.667,271.124,300.0,100,56,35,1809,5005,300,high,LOW_WAIT,0
1775290985.4020088,28.676,80,warmup,67,67.0,295.541,300.0,100,56,35,1809,5005,300,high,LOW_WAIT,0
1775290986.419898,29.694,80,warmup,68,67.333,297.515,300.0,100,57,36,1809,5005,300,high,LOW_WAIT,0
1775290987.433944,30.708,80,warmup,68,67.667,293.497,300.0,100,56,37,1809,5005,300,high,LOW_WAIT,0
1775290988.4521575,31.725,80,warmup,68,68.0,281.22,300.0,100,57,37,1809,5005,300,high,LOW_WAIT,0
1775290989.4539402,32.728,80,warmup,68,68.0,290.248,300.0,100,54,38,1809,5005,300,high,LOW_WAIT,0
1775290990.46844,33.742,80,warmup,69,68.333,287.456,300.0,100,52,39,1797,5005,300,high,LOW_WAIT,0
1775290991.4709618,34.745,80,warmup,69,68.667,293.953,300.0,100,54,40,1809,5005,300,high,LOW_WAIT,0
1775290992.4789321,35.753,80,warmup,69,69.0,296.527,300.0,100,56,40,1809,5005,300,high,LOW_WAIT,0
1775290993.4928849,36.767,80,warmup,69,69.0,299.051,300.0,100,57,41,1809,5005,300,high,LOW_WAIT,0
1775290994.5089424,37.783,80,warmup,69,69.0,283.676,300.0,100,57,41,1809,5005,300,high,LOW_WAIT,0
1775290995.521937,38.796,80,warmup,69,69.0,293.976,300.0,100,58,42,1809,5005,300,high,LOW_WAIT,0
1775290996.5383463,39.812,80,warmup,70,69.333,290.898,300.0,100,55,43,1797,5005,300,high,LOW_WAIT,0
1775290997.5409734,40.815,80,warmup,70,69.667,288.612,300.0,100,53,43,1797,5005,300,high,LOW_WAIT,0
1775290998.5489388,41.823,80,warmup,70,70.0,289.646,300.0,100,54,44,1797,5005,300,high,LOW_WAIT,0
1775290999.561927,42.836,80,warmup,70,70.0,287.143,300.0,100,53,44,1797,5005,300,high,LOW_WAIT,0
1775291000.5799496,43.854,80,warmup,70,70.0,185.414,300.0,100,53,45,1797,5005,300,high,LOW_WAIT,0
1775291001.596958,44.871,80,warmup,70,70.0,206.446,300.0,100,58,45,1797,5005,300,high,LOW_WAIT,0
1775291002.6079812,45.882,80,warmup,70,70.0,291.861,300.0,100,59,46,1809,5005,300,high,LOW_WAIT,0
1775291003.613921,46.888,80,warmup,71,70.333,149.072,300.0,100,55,46,1797,5005,300,high,LOW_WAIT,0
1775291004.6309195,47.905,80,warmup,71,70.667,282.523,300.0,100,52,46,1797,5005,300,high,LOW_WAIT,0
1775291005.6339684,48.908,80,warmup,71,71.0,283.895,300.0,100,53,47,1797,5005,300,high,LOW_WAIT,0
1775291006.6419308,49.916,80,warmup,71,71.0,289.791,300.0,100,58,47,1797,5005,300,high,LOW_WAIT,0
1775291007.6589053,50.933,80,warmup,71,71.0,298.285,300.0,100,57,47,1809,5005,300,high,LOW_WAIT,0
1775291008.6779532,51.952,80,warmup,71,71.0,296.31,300.0,100,54,48,1822,5005,300,high,LOW_WAIT,0
1775291009.6966877,52.968,80,warmup,71,71.0,292.077,300.0,100,59,48,1809,5005,300,high,LOW_WAIT,0
1775291010.7039459,53.978,80,warmup,71,71.0,290.152,300.0,100,55,49,1809,5005,300,high,LOW_WAIT,0
1775291011.7379854,55.012,80,warmup,72,71.333,289.454,300.0,100,49,49,1809,5005,300,high,LOW_WAIT,0
1775291012.7511094,56.025,80,warmup,72,71.667,293.015,300.0,100,53,49,1797,5005,300,high,LOW_WAIT,0
