ts,temp_c,power_w,power_limit_w,gpu_util_percent,mem_util_percent,fan_percent,graphics_clock_mhz,mem_clock_mhz
1775283473.4788814,35,10.618,250.0,3,2,0,139,405
1775283474.4826713,35,12.368,250.0,3,2,0,139,405
1775283475.4864492,35,12.662,250.0,5,2,0,139,405
1775283476.4898212,35,11.098,250.0,6,3,0,139,405
1775283477.4928057,45,239.665,250.0,100,48,0,1746,5005
1775283478.4958022,47,240.843,250.0,100,42,0,1721,5005
1775283479.4988,48,249.826,250.0,100,45,0,1746,5005
1775283480.5107996,49,244.218,250.0,100,46,0,1733,5005
1775283481.5138078,49,258.289,250.0,100,44,0,1759,5005
1775283482.5328176,50,251.017,250.0,100,41,0,1746,5005
1775283483.5358245,50,244.701,250.0,100,43,0,1746,5005
1775283484.538797,51,248.09,250.0,100,44,0,1733,5005
1775283485.5508058,52,250.962,250.0,100,48,0,1746,5005
1775283486.55676,52,249.034,250.0,100,43,0,1733,5005
1775283487.5708132,53,249.075,250.0,100,42,0,1721,5005
1775283488.5798247,53,253.309,250.0,100,45,0,1746,5005
1775283489.5868304,54,252.685,250.0,100,46,0,1733,5005
1775283490.5898066,55,248.979,250.0,100,43,0,1733,5005
1775283491.607806,55,244.604,250.0,100,47,0,1733,5005
1775283492.6128058,56,254.818,250.0,100,45,0,1733,5005
1775283493.6198175,56,255.011,250.0,100,46,5,1733,5005
1775283494.631887,57,250.694,250.0,100,41,11,1721,5005
1775283495.6448128,57,251.83,250.0,100,43,11,1721,5005
1775283496.656812,57,252.505,250.0,100,43,11,1721,5005
1775283497.6770022,58,244.894,250.0,100,43,12,1708,5005
1775283498.6948106,58,246.051,250.0,100,45,12,1708,5005
1775283499.7088034,59,245.163,250.0,100,45,13,1708,5005
1775283500.7247994,59,110.898,250.0,100,44,14,1708,5005
1775283501.7477922,60,238.914,250.0,100,44,16,1721,5005
1775283502.7518072,60,238.624,250.0,100,45,16,1708,5005
1775283503.7548146,60,246.209,250.0,100,45,17,1721,5005
