ts,elapsed_s,target_c,phase,temp_c,temp_avg_3s,power_w,power_limit_w,gpu_util_percent,mem_util_percent,fan_percent,graphics_clock_mhz,mem_clock_mhz,controller_pl_w,controller_mode,decision_action,in_band_consecutive_s
1775310538.8925722,0.0,80,warmup,35,35.0,15.275,300.0,4,2,0,139,405,300,mid,INIT,0
1775310539.902006,1.01,80,warmup,36,35.5,16.64,300.0,4,2,0,139,405,300,mid,INIT,0
1775310540.9259577,2.034,80,warmup,49,40.0,292.99,300.0,100,47,0,1835,5005,300,mid,LOW_WAIT,0
1775310541.9326837,3.04,80,warmup,51,45.333,296.261,300.0,100,46,0,1835,5005,300,high,MODE_HIGH,0
1775310543.2116697,4.315,80,warmup,41,47.0,73.647,300.0,1,0,0,1911,5508,300,high,LOW_WAIT,0
1775310544.2209313,5.329,80,warmup,51,47.667,291.283,300.0,100,54,0,1835,5005,300,high,LOW_WAIT,0
1775310545.2269711,6.335,80,warmup,52,48.0,290.392,300.0,100,52,0,1847,5005,300,high,LOW_WAIT,0
1775310546.2349381,7.343,80,warmup,53,52.0,183.658,300.0,100,55,0,1835,5005,300,high,LOW_WAIT,0
1775310547.2479732,8.356,80,warmup,54,53.0,285.267,300.0,100,56,0,1822,5005,300,high,LOW_WAIT,0
1775310548.2574682,9.365,80,warmup,54,53.667,300.302,300.0,100,57,0,1847,5005,300,high,LOW_WAIT,0
1775310549.2659452,10.374,80,warmup,55,54.333,289.67,300.0,100,57,0,1835,5005,300,high,LOW_WAIT,0
1775310550.2689636,11.377,80,warmup,56,55.0,229.867,300.0,100,56,0,1835,5005,300,high,LOW_WAIT,0
1775310551.2759383,12.384,80,warmup,56,55.667,280.791,300.0,100,52,0,1822,5005,300,high,LOW_WAIT,0
1775310552.2809355,13.389,80,warmup,57,56.333,281.511,300.0,100,50,0,1822,5005,300,high,LOW_WAIT,0
1775310553.2842243,14.392,80,warmup,57,56.667,283.435,300.0,100,51,0,1822,5005,300,high,LOW_WAIT,0
1775310554.286978,15.395,80,warmup,58,57.333,282.378,300.0,100,52,0,1822,5005,300,high,LOW_WAIT,0
1775310555.3019793,16.41,80,warmup,58,57.667,282.472,300.0,100,53,20,1809,5005,300,high,LOW_WAIT,0
1775310556.3089337,17.417,80,warmup,59,58.333,258.086,300.0,100,52,26,1822,5005,300,high,LOW_WAIT,0
1775310557.3119414,18.42,80,warmup,59,58.667,299.244,300.0,100,54,23,1835,5005,300,high,LOW_WAIT,0
1775310558.3249145,19.433,80,warmup,59,59.0,276.019,300.0,100,52,21,1822,5005,300,high,LOW_WAIT,0
1775310559.3279278,20.436,80,warmup,60,59.333,285.459,300.0,100,53,19,1809,5005,300,high,LOW_WAIT,0
1775310560.3369792,21.445,80,warmup,60,59.667,301.072,300.0,100,55,18,1835,5005,300,high,LOW_WAIT,0
1775310561.3534794,22.461,80,warmup,61,60.333,289.55,300.0,100,56,19,1822,5005,300,high,LOW_WAIT,0
1775310562.362933,23.471,80,warmup,61,60.667,298.089,300.0,100,55,19,1809,5005,300,high,LOW_WAIT,0
1775310563.407921,24.516,80,warmup,61,61.0,246.127,300.0,100,56,20,1809,5005,300,high,LOW_WAIT,0
1775310564.4269743,25.535,80,warmup,62,61.333,149.059,300.0,100,57,21,1809,5005,300,high,LOW_WAIT,0
1775310565.4619298,26.57,80,warmup,62,61.667,297.344,300.0,100,55,22,1822,5005,300,high,LOW_WAIT,0
1775310566.4649396,27.573,80,warmup,62,62.0,285.747,300.0,100,53,23,1809,5005,300,high,LOW_WAIT,0
1775310567.4769356,28.585,80,warmup,63,62.333,286.95,300.0,100,53,24,1809,5005,300,high,LOW_WAIT,0
1775310568.4929066,29.601,80,warmup,63,62.667,275.492,300.0,100,53,25,1809,5005,300,high,LOW_WAIT,0
1775310569.49595,30.604,80,warmup,63,63.0,294.914,300.0,100,54,26,1835,5005,300,high,LOW_WAIT,0
1775310570.5059874,31.614,80,warmup,64,63.333,294.361,300.0,100,55,27,1809,5005,300,high,LOW_WAIT,0
1775310571.5109465,32.619,80,warmup,64,63.667,293.472,300.0,100,56,27,1809,5005,300,high,LOW_WAIT,0
1775310572.5489707,33.657,80,warmup,64,64.0,289.261,300.0,100,55,28,1809,5005,300,high,LOW_WAIT,0
1775310573.5629094,34.671,80,warmup,65,64.333,286.59,300.0,100,53,29,1809,5005,300,high,LOW_WAIT,0
1775310574.565983,35.674,80,warmup,65,64.667,287.914,300.0,100,52,30,1809,5005,300,high,LOW_WAIT,0
1775310575.5759273,36.684,80,warmup,65,65.0,292.197,300.0,100,51,30,1809,5005,300,high,LOW_WAIT,0
1775310576.5929475,37.701,80,warmup,66,65.333,290.441,300.0,100,51,31,1809,5005,300,high,LOW_WAIT,0
1775310577.6069129,38.715,80,warmup,66,65.667,297.273,300.0,100,51,32,1809,5005,300,high,LOW_WAIT,0
1775310578.6099422,39.718,80,warmup,65,65.667,284.4,300.0,100,52,33,1809,5005,300,high,LOW_WAIT,0
1775310579.6129858,40.721,80,warmup,66,65.667,291.042,300.0,100,55,34,1822,5005,300,high,LOW_WAIT,0
