run_idx,phase,target_pl_w,ts,temp_c,power_w,power_limit_w,gpu_util_percent,mem_util_percent,fan_percent,graphics_clock_mhz,mem_clock_mhz,note
1,cooldown,150,1775283932.152187,44,10.91,250.0,6,3,0,139,405,
1,set_pl,150,1775283932.1897883,44,11.875,150.0,6,3,0,139,405,after_set_pl
1,run,150,1775283932.194005,44,11.875,150.0,6,3,0,139,405,
1,run,150,1775283933.2038598,44,10.712,150.0,6,3,0,139,405,
1,run,150,1775283934.2075927,49,155.183,150.0,100,27,0,1126,5005,
1,run,150,1775283935.2155695,50,157.286,150.0,100,33,0,1126,5005,
1,run,150,1775283936.2229917,50,155.279,150.0,100,27,0,1151,5005,
1,run,150,1775283937.2429163,51,150.73,150.0,100,29,0,1101,5005,
1,run,150,1775283938.3042655,51,156.641,150.0,100,28,0,1088,5005,
1,run,150,1775283939.3473496,52,137.063,150.0,100,30,0,1164,5005,
1,run,150,1775283940.4069362,52,154.996,150.0,100,29,0,1113,5005,
1,run,150,1775283941.502101,52,154.37,150.0,100,30,0,1126,5005,
1,run,150,1775283942.5674107,53,152.072,150.0,100,25,0,1050,5005,
1,run,150,1775283943.5699155,53,151.782,150.0,100,28,0,1088,5005,
1,run,150,1775283944.5729158,53,81.215,150.0,100,29,0,1126,5005,
1,run,150,1775283945.6269338,54,153.924,150.0,100,28,0,1151,5005,
1,run,150,1775283946.7029576,54,143.578,150.0,100,29,0,1088,5005,
1,run,150,1775283947.7469804,54,150.464,150.0,100,31,0,1164,5005,
1,run,150,1775283948.821981,55,68.243,150.0,100,26,0,1151,5005,
1,run,150,1775283949.8719242,55,142.029,150.0,100,29,0,1088,5005,
1,run,150,1775283950.9459348,55,155.699,150.0,100,26,0,1025,5005,
1,run,150,1775283951.9559062,56,150.755,150.0,100,25,15,1088,5005,
1,run,150,1775283952.958955,56,150.271,150.0,100,26,15,1101,5005,
1,run,150,1775283953.9689913,56,145.902,150.0,100,26,13,1101,5005,
