ts,elapsed_s,target_c,phase,temp_c,temp_avg_3s,power_w,power_limit_w,gpu_util_percent,mem_util_percent,fan_percent,graphics_clock_mhz,mem_clock_mhz,controller_pl_w,controller_mode,decision_action,in_band_consecutive_s
1775311952.034694,0.0,80,warmup,39,39.0,11.486,300.0,7,3,0,139,405,300,mid,INIT,0
1775311953.0444546,1.004,80,warmup,39,39.0,11.878,300.0,7,3,0,139,405,300,mid,INIT,0
1775311954.0609431,2.027,80,warmup,52,43.333,303.088,300.0,100,44,0,1847,5005,300,mid,LOW_WAIT,0
1775311955.069838,3.03,80,warmup,53,48.0,299.629,300.0,100,47,0,1835,5005,300,high,MODE_HIGH,0
1775311956.3791811,4.34,80,warmup,44,49.667,72.289,300.0,1,0,0,1885,5508,300,high,LOW_WAIT,0
1775311957.39199,5.358,80,warmup,53,50.0,295.059,300.0,100,53,0,1835,5005,300,high,LOW_WAIT,0
1775311958.3969617,6.362,80,warmup,54,50.333,295.854,300.0,100,53,0,1835,5005,300,high,LOW_WAIT,0
1775311959.4076028,7.373,80,warmup,55,54.0,295.084,300.0,100,53,0,1835,5005,300,high,LOW_WAIT,0
1775311960.4168787,8.382,80,warmup,56,55.0,297.919,300.0,100,53,0,1835,5005,300,high,LOW_WAIT,0
1775311961.4199026,9.385,80,warmup,56,55.667,299.436,300.0,100,52,0,1835,5005,300,high,LOW_WAIT,0
1775311962.4339287,10.4,80,warmup,57,56.333,278.115,300.0,100,52,0,1822,5005,300,high,LOW_WAIT,0
1775311963.437165,11.403,80,warmup,57,56.667,294.916,300.0,100,52,0,1835,5005,300,high,LOW_WAIT,0
1775311964.441991,12.408,80,warmup,58,57.333,252.278,300.0,100,51,0,1822,5005,300,high,LOW_WAIT,0
1775311965.4588902,13.424,80,warmup,58,57.667,221.893,300.0,100,53,0,1822,5005,300,high,LOW_WAIT,0
1775311966.4821515,14.447,80,warmup,59,58.333,287.36,300.0,100,54,0,1835,5005,300,high,LOW_WAIT,0
1775311967.4849792,15.451,80,warmup,59,58.667,270.864,300.0,100,55,29,1835,5005,300,high,LOW_WAIT,0
1775311968.4939768,16.46,80,warmup,59,59.0,290.344,300.0,100,56,30,1835,5005,300,high,LOW_WAIT,0
1775311969.5101926,17.472,80,warmup,60,59.333,278.816,300.0,100,58,26,1835,5005,300,high,LOW_WAIT,0
1775311970.5149872,18.481,80,warmup,60,59.667,287.384,300.0,100,53,23,1835,5005,300,high,LOW_WAIT,0
1775311971.533976,19.499,80,warmup,61,60.333,285.651,300.0,100,55,21,1835,5005,300,high,LOW_WAIT,0
1775311972.5681014,20.534,80,warmup,61,60.667,294.89,300.0,100,55,21,1835,5005,300,high,LOW_WAIT,0
