ts,elapsed_s,target_c,phase,temp_c,temp_avg_3s,power_w,power_limit_w,gpu_util_percent,mem_util_percent,fan_percent,graphics_clock_mhz,mem_clock_mhz,controller_pl_w,controller_mode,decision_action,in_band_consecutive_s
1775313006.9724429,0.0,80,warmup,66,66.0,272.552,300.0,100,55,34,1797,5005,300,mid,INIT,0
1775313007.9799633,1.003,80,warmup,67,66.5,295.01,300.0,100,54,34,1809,5005,300,mid,INIT,0
1775313009.0060408,2.034,80,warmup,67,66.667,293.133,300.0,100,51,35,1822,5005,300,mid,LOW_WAIT,0
1775313010.0209177,3.049,80,warmup,67,67.0,293.665,300.0,100,47,36,1822,5005,300,high,MODE_HIGH,0
1775313011.3006532,4.324,80,warmup,67,67.0,286.014,300.0,100,55,37,1809,5005,300,high,LOW_WAIT,0
1775313012.3260174,5.354,80,warmup,68,67.333,288.828,300.0,100,51,37,1822,5005,300,high,LOW_WAIT,0
1775313013.3419666,6.37,80,warmup,68,67.667,288.106,300.0,100,52,37,1822,5005,300,high,LOW_WAIT,0
1775313014.3519456,7.38,80,warmup,68,68.0,293.568,300.0,100,50,39,1822,5005,300,high,LOW_WAIT,0
1775313015.3629549,8.391,80,warmup,68,68.0,276.505,300.0,100,52,39,1809,5005,300,high,LOW_WAIT,0
1775313016.3749552,9.403,80,warmup,68,68.0,284.062,300.0,100,53,40,1809,5005,300,high,LOW_WAIT,0
1775313017.3801427,10.407,80,warmup,69,68.333,299.436,300.0,100,51,40,1822,5005,300,high,LOW_WAIT,0
1775313018.382977,11.411,80,warmup,69,68.667,281.03,300.0,100,52,41,1822,5005,300,high,LOW_WAIT,0
1775313019.3929727,12.421,80,warmup,69,69.0,293.327,300.0,100,51,42,1822,5005,300,high,LOW_WAIT,0
1775313020.4039772,13.432,80,warmup,69,69.0,292.774,300.0,100,55,42,1822,5005,300,high,LOW_WAIT,0
1775313021.411923,14.44,80,warmup,70,69.333,297.702,300.0,100,52,42,1822,5005,300,high,LOW_WAIT,0
1775313022.4149911,15.443,80,warmup,69,69.333,291.835,300.0,100,53,42,1822,5005,300,high,LOW_WAIT,0
1775313023.4208827,16.449,80,warmup,69,69.333,289.526,300.0,100,48,43,1822,5005,300,high,LOW_WAIT,0
1775313024.4239464,17.452,80,warmup,70,69.333,293.59,300.0,100,52,44,1822,5005,300,high,LOW_WAIT,0
1775313025.4319947,18.46,80,warmup,70,69.667,288.539,300.0,100,54,44,1822,5005,300,high,LOW_WAIT,0
1775313026.4449422,19.473,80,warmup,70,70.0,293.471,300.0,100,54,44,1822,5005,300,high,LOW_WAIT,0
1775313027.453947,20.482,80,warmup,70,70.0,294.552,300.0,100,52,45,1809,5005,300,high,LOW_WAIT,0
1775313028.4678771,21.495,80,warmup,70,70.0,292.149,300.0,100,50,45,1822,5005,300,high,LOW_WAIT,0
1775313029.4719858,22.5,80,warmup,70,70.0,293.472,300.0,100,51,46,1822,5005,300,high,LOW_WAIT,0
1775313030.4779856,23.506,80,warmup,71,70.333,294.314,300.0,100,53,46,1822,5005,300,high,LOW_WAIT,0
1775313031.4889393,24.517,80,warmup,71,70.667,295.395,300.0,100,53,46,1809,5005,300,high,LOW_WAIT,0
1775313032.5050862,25.531,80,warmup,71,71.0,294.652,300.0,100,49,47,1809,5005,300,high,LOW_WAIT,0
1775313033.5079563,26.536,80,warmup,71,71.0,295.399,300.0,100,51,47,1822,5005,300,high,LOW_WAIT,0
1775313034.5149322,27.543,80,warmup,71,71.0,297.058,300.0,100,49,47,1809,5005,300,high,LOW_WAIT,0
1775313035.548958,28.577,80,warmup,71,71.0,295.203,300.0,100,51,48,1822,5005,300,high,LOW_WAIT,0
1775313036.5539508,29.582,80,warmup,71,71.0,283.172,300.0,100,49,48,1809,5005,300,high,LOW_WAIT,0
1775313037.5578928,30.585,80,warmup,71,71.0,280.715,300.0,100,48,48,1809,5005,300,high,LOW_WAIT,0
1775313038.56389,31.591,80,warmup,72,71.333,286.566,300.0,100,54,49,1822,5005,300,high,LOW_WAIT,0
1775313039.5679433,32.596,80,warmup,72,71.667,263.342,300.0,100,55,49,1822,5005,300,high,LOW_WAIT,0
1775313040.5759501,33.604,80,warmup,72,72.0,291.186,300.0,100,54,49,1822,5005,300,high,LOW_WAIT,0
1775313041.58192,34.61,80,warmup,72,72.0,243.777,300.0,100,52,49,1822,5005,300,high,LOW_WAIT,0
1775313042.59305,35.621,80,warmup,72,72.0,290.128,300.0,100,48,50,1822,5005,300,high,LOW_WAIT,0
1775313043.6019711,36.63,80,warmup,72,72.0,205.719,300.0,100,51,50,1822,5005,300,high,LOW_WAIT,0
1775313044.615925,37.643,80,warmup,72,72.0,293.038,300.0,100,52,50,1822,5005,300,high,LOW_WAIT,0
1775313045.6209903,38.649,80,warmup,72,72.0,260.324,300.0,100,54,51,1822,5005,300,high,LOW_WAIT,0
1775313046.627929,39.655,80,warmup,72,72.0,294.288,300.0,100,53,51,1822,5005,300,high,LOW_WAIT,0
1775313047.637971,40.666,80,warmup,72,72.0,290.176,300.0,100,50,51,1822,5005,300,high,LOW_WAIT,0
1775313048.6499557,41.678,80,warmup,72,72.0,245.244,300.0,100,50,51,1822,5005,300,high,LOW_WAIT,0
1775313049.6579473,42.686,80,warmup,72,72.0,279.39,300.0,100,50,51,1822,5005,300,high,LOW_WAIT,0
1775313050.6669896,43.695,80,warmup,72,72.0,294.554,300.0,100,57,51,1835,5005,300,high,LOW_WAIT,0
1775313051.681934,44.71,80,warmup,72,72.0,294.961,300.0,100,53,51,1822,5005,300,high,LOW_WAIT,0
1775313052.6959467,45.724,80,warmup,73,72.333,281.631,300.0,100,51,52,1809,5005,300,high,LOW_WAIT,0
1775313053.7069542,46.735,80,warmup,73,72.667,292.221,300.0,100,49,52,1822,5005,300,high,LOW_WAIT,0
1775313054.719947,47.748,80,warmup,73,73.0,295.373,300.0,100,55,52,1835,5005,300,high,LOW_WAIT,0
1775313055.7279267,48.756,80,warmup,73,73.0,297.273,300.0,100,54,53,1822,5005,300,high,LOW_WAIT,0
1775313056.7406325,49.768,80,warmup,73,73.0,291.283,300.0,100,49,52,1809,5005,300,high,LOW_WAIT,0
1775313057.7469919,50.775,80,warmup,73,73.0,296.907,300.0,100,53,53,1822,5005,300,high,LOW_WAIT,0
1775313058.7619414,51.79,80,warmup,73,73.0,285.82,300.0,100,55,53,1809,5005,300,high,LOW_WAIT,0
1775313059.773985,52.802,80,warmup,73,73.0,290.392,300.0,100,51,53,1809,5005,300,high,LOW_WAIT,0
1775313060.7829342,53.811,80,warmup,73,73.0,285.002,300.0,100,47,53,1809,5005,300,high,LOW_WAIT,0
1775313061.7859502,54.814,80,warmup,73,73.0,301.741,300.0,100,52,53,1809,5005,300,high,LOW_WAIT,0
1775313062.8209403,55.849,80,warmup,73,73.0,215.752,300.0,100,54,53,1797,5005,300,high,LOW_WAIT,0
1775313063.829943,56.858,80,warmup,73,73.0,277.368,300.0,100,53,54,1797,5005,300,high,LOW_WAIT,0
1775313064.83594,57.864,80,warmup,73,73.0,294.288,300.0,100,52,54,1822,5005,300,high,LOW_WAIT,0
1775313065.8388877,58.866,80,warmup,73,73.0,279.612,300.0,100,47,54,1797,5005,300,high,LOW_WAIT,0
1775313066.8420246,59.87,80,warmup,73,73.0,268.411,300.0,100,51,54,1822,5005,300,high,LOW_WAIT,0
1775313067.8489566,60.877,80,warmup,73,73.0,279.281,300.0,100,49,54,1809,5005,300,high,LOW_WAIT,0
1775313068.8542395,61.879,80,warmup,73,73.0,290.922,300.0,100,56,55,1809,5005,300,high,LOW_WAIT,0
1775313069.8574712,62.885,80,warmup,74,73.333,277.849,300.0,100,52,55,1809,5005,300,high,LOW_WAIT,0
1775313070.8648663,63.892,80,warmup,73,73.333,279.685,300.0,100,50,55,1809,5005,300,high,LOW_WAIT,0
1775313071.867954,64.896,80,warmup,73,73.333,293.133,300.0,100,46,55,1822,5005,300,high,LOW_WAIT,0
1775313072.8739483,65.902,80,warmup,74,73.333,286.735,300.0,100,54,55,1822,5005,300,high,LOW_WAIT,0
1775313073.884685,66.912,80,warmup,74,73.667,205.395,300.0,100,54,55,1822,5005,300,high,LOW_WAIT,0
1775313074.897966,67.926,80,warmup,74,74.0,292.438,300.0,100,52,55,1809,5005,300,high,LOW_WAIT,0
1775313075.9059706,68.934,80,warmup,74,74.0,295.133,300.0,100,52,55,1822,5005,300,high,LOW_WAIT,0
1775313076.912946,69.941,80,warmup,74,74.0,290.56,300.0,100,52,56,1822,5005,300,high,LOW_WAIT,0
1775313077.9239666,70.952,80,warmup,74,74.0,288.179,300.0,100,52,56,1822,5005,300,high,LOW_WAIT,0
1775313078.935971,71.964,80,warmup,74,74.0,287.841,300.0,100,56,56,1822,5005,300,high,LOW_WAIT,0
1775313079.9452298,72.972,80,warmup,74,74.0,301.528,300.0,100,55,56,1809,5005,300,high,LOW_WAIT,0
1775313080.9928927,74.02,80,warmup,74,74.0,292.147,300.0,100,52,56,1822,5005,300,high,LOW_WAIT,0
1775313082.0059023,75.034,80,warmup,74,74.0,296.407,300.0,100,50,55,1822,5005,300,high,LOW_WAIT,0
1775313083.0089173,76.037,80,warmup,74,74.0,291.066,300.0,100,54,56,1822,5005,300,high,LOW_WAIT,0
1775313084.0229647,77.051,80,warmup,74,74.0,210.25,300.0,100,55,56,1822,5005,300,high,LOW_WAIT,0
1775313085.035301,78.063,80,warmup,74,74.0,281.92,300.0,100,55,57,1822,5005,300,high,LOW_WAIT,0
1775313086.0551436,79.072,80,warmup,74,74.0,211.487,300.0,100,50,57,1809,5005,300,high,LOW_WAIT,0
1775313087.06493,80.093,80,warmup,74,74.0,281.173,300.0,100,49,57,1797,5005,300,high,LOW_WAIT,0
1775313088.0679443,81.096,80,warmup,74,74.0,288.756,300.0,100,55,57,1809,5005,300,high,LOW_WAIT,0
1775313089.0769405,82.105,80,warmup,74,74.0,286.276,300.0,100,52,57,1809,5005,300,high,LOW_WAIT,0
1775313090.0879507,83.116,80,warmup,74,74.0,288.997,300.0,100,49,57,1809,5005,300,high,LOW_WAIT,0
1775313091.0939348,84.122,80,warmup,74,74.0,290.104,300.0,100,49,58,1809,5005,300,high,LOW_WAIT,0
1775313092.096993,85.125,80,hold,75,74.333,291.763,300.0,100,54,57,1809,5005,300,high,LOW_WAIT,1
1775313093.1040096,86.132,80,recover,74,74.333,271.64,300.0,100,53,57,1784,5005,300,high,LOW_WAIT,0
1775313094.1159337,87.144,80,warmup,74,74.333,284.138,300.0,100,53,58,1797,5005,300,high,LOW_WAIT,0
1775313095.1249316,88.153,80,warmup,74,74.0,282.375,300.0,100,49,58,1809,5005,300,high,LOW_WAIT,0
1775313096.1359398,89.164,80,hold,75,74.333,284.254,300.0,100,49,57,1809,5005,300,high,LOW_WAIT,1
1775313097.1446283,90.172,80,hold,75,74.667,292.461,300.0,100,57,58,1809,5005,300,high,LOW_WAIT,2
1775313098.154777,91.182,80,hold,75,75.0,292.076,300.0,100,55,58,1809,5005,300,high,APPROACHING_LOW,3
1775313099.1649961,92.193,80,hold,75,75.0,287.673,300.0,100,50,58,1809,5005,300,high,APPROACHING_LOW,4
1775313100.1799748,93.208,80,hold,75,75.0,294.121,300.0,100,52,58,1822,5005,300,high,APPROACHING_LOW,5
1775313101.1938953,94.222,80,hold,75,75.0,299.579,300.0,100,53,58,1822,5005,300,high,APPROACHING_LOW,6
1775313102.1979783,95.226,80,hold,75,75.0,303.999,300.0,100,55,58,1809,5005,300,high,APPROACHING_LOW,7
1775313103.2169154,96.245,80,hold,75,75.0,298.617,300.0,100,54,58,1822,5005,300,high,APPROACHING_LOW,8
1775313104.2209654,97.249,80,hold,75,75.0,292.413,300.0,100,49,59,1809,5005,300,high,APPROACHING_LOW,9
1775313105.2249196,98.252,80,hold,75,75.0,291.45,300.0,100,48,59,1822,5005,300,high,APPROACHING_LOW,10
1775313106.240459,99.268,80,hold,75,75.0,295.684,300.0,100,52,59,1822,5005,300,high,APPROACHING_LOW,11
1775313107.2499297,100.278,80,hold,75,75.0,297.295,300.0,100,53,59,1822,5005,300,high,APPROACHING_LOW,12
1775313108.2598393,101.281,80,hold,75,75.0,235.405,300.0,100,54,59,1822,5005,300,high,APPROACHING_LOW,13
1775313109.275904,102.303,80,hold,75,75.0,166.84,300.0,100,50,59,1809,5005,300,high,APPROACHING_LOW,14
1775313110.2929795,103.321,80,hold,75,75.0,282.258,300.0,100,51,60,1809,5005,300,high,APPROACHING_LOW,15
1775313111.3019478,104.33,80,hold,75,75.0,177.197,300.0,100,54,59,1809,5005,300,high,APPROACHING_LOW,16
1775313112.3199701,105.348,80,hold,75,75.0,288.347,300.0,100,54,59,1809,5005,300,high,APPROACHING_LOW,17
1775313113.3239777,106.352,80,hold,75,75.0,286.446,300.0,100,51,60,1809,5005,300,high,APPROACHING_LOW,18
1775313114.3289483,107.357,80,hold,75,75.0,291.259,300.0,100,50,59,1809,5005,300,high,APPROACHING_LOW,19
